Query_Id	Query
00001	What are the effects of calcium on the physical properties of mucus from CF patients
00002	Can one distinguish between the effects of mucus hypersecretion and infection on the submucosal glands of the respiratory tract in CF
00003	How are salivary glycoproteins from CF patients different from those of normal subjects
00004	What is the lipid composition of CF respiratory secretions
00005	Is CF mucus abnormal
00006	What is the effect of water or other therapeutic agents on the physical properties viscosity elasticity of sputum or bronchial secretions from CF patients
00007	Are mucus glycoproteins degraded differently in CF patients as compared to those from normal subjects
00008	What histochemical differences have been described between normal and CF respiratory epithelia
00009	What is the association between liver disease cirrhosis and vitamin A metabolism in CF
00010	What is the role of Vitamin E in the therapy of patients with CF
00011	What is the difference between meconium ileus and meconium plug syndrome
00012	What abnormalities of amino acid transport have been described in the small bowel of CF patients
00013	What are the clinical or biochemical features of pancreatitis in CF patients
00014	What non-invasive tests can be performed for the evaluation of exocrine pancreatic function in patients with CF
00015	What are the hepatic complications or manifestations of CF
00016	What are the gastrointestinal complications of CF after the neonatal period exclude liver disease and meconium ileus
00017	What is the most effective regimen for the use of pancreatic enzyme supplements in the treatment of CF patients
00018	Is dietary supplementation with bile salts of therapeutic benefit to CF patients
00019	What complications of pancreatic enzyme therapy have been reported in CF patients
